time_min,100_1,100_2,100_3,100_4,90_1,90_2,90_3,90_4,80_1,80_2,80_3,80_4,70_1,70_2,70_3,70_4,60_1,60_2,60_3,60_4,50_1,50_2,50_3,50_4,25_1,25_2,25_3,25_4,12.5_1,12.5_2,12.5_3,12.5_4,6.25_1,6.25_2,6.25_3,6.25_4,3.125_1,3.125_2,3.125_3,3.125_4,1.5625_1,1.5625_2,1.5625_3,1.5625_4,0_1,0_2,0_3,0_4
0,307.75,407.75,313.75,300.75,342.25,292.25,208.25,270.25,404,242,393,336,262.25,303.25,458.25,167.25,355.25,436.25,264.25,310.25,292.25,181.25,347.25,313.25,352.25,332.25,203.25,339.25,363.75,306.75,236.75,258.75,387,389,334,348,154.75,239.75,322.75,361.75,324,260,412,327,222,354,296,332
15,407.5,545.5,551.5,450.5,485.75,481.75,465.75,415.75,566.25,448.25,500.25,492.25,325,386,429,443,464.75,505.75,452.75,463.75,445.75,413.75,531.75,411.75,504.5,525.5,562.5,399.5,429.5,429.5,495.5,337.5,425.25,545.25,431.25,479.25,524,423,483,443,589.75,515.75,521.75,485.75,515.75,404.75,488.75,492.75
30,488,444,554,567,580.75,631.75,667.75,568.75,482.25,562.25,585.25,526.25,572.5,570.5,665.5,580.5,583.75,574.75,629.75,663.75,453,511,599,689,496.75,568.75,511.75,530.75,632.75,567.75,653.75,709.75,625.5,551.5,595.5,491.5,559.75,639.75,730.75,727.75,642.25,685.25,592.25,537.25,609.5,639.5,565.5,564.5
45,607.75,605.75,620.75,668.75,586.5,655.5,750.5,713.5,657.25,693.25,688.25,679.25,712.75,657.75,721.75,597.75,523.5,742.5,804.5,558.5,658.25,631.25,685.25,669.25,649.5,702.5,715.5,646.5,563.75,539.75,517.75,568.75,581.5,715.5,702.5,507.5,722.75,646.75,858.75,727.75,611.5,709.5,777.5,655.5,507.25,641.25,590.25,554.25
60,722.5,653.5,665.5,725.5,720.5,652.5,785.5,692.5,613.75,737.75,729.75,631.75,744.5,632.5,734.5,502.5,643.75,591.75,606.75,704.75,640,629,591,658,562.75,773.75,655.75,553.75,784.75,718.75,681.75,624.75,628.25,802.25,636.25,615.25,748.5,761.5,724.5,702.5,647.5,768.5,773.5,692.5,681.25,768.25,657.25,841.25
75,732.5,602.5,678.5,817.5,644.75,650.75,825.75,616.75,621.5,645.5,531.5,563.5,726.5,645.5,830.5,591.5,611,786,608,655,620.5,530.5,742.5,637.5,593.75,754.75,765.75,768.75,730.5,696.5,618.5,620.5,808.75,794.75,865.75,768.75,735.25,845.25,793.25,765.25,702.75,832.75,752.75,684.75,787.25,740.25,684.25,622.25
90,733,754,629,729,546,685,737,659,669.25,597.25,774.25,669.25,664,667,689,706,691.25,694.25,683.25,747.25,588,637,772,637,579.75,657.75,562.75,681.75,672.25,678.25,700.25,592.25,719.75,776.75,737.75,740.75,745.5,726.5,737.5,815.5,746,798,723,696,726.25,758.25,857.25,852.25
105,831.5,658.5,794.5,733.5,717.75,699.75,738.75,728.75,806.25,774.25,744.25,632.25,676.75,637.75,721.75,588.75,558,699,693,598,593,692,643,725,671.25,721.25,691.25,765.25,753.75,724.75,757.75,847.75,684.5,711.5,792.5,836.5,807.25,680.25,824.25,830.25,806.25,882.25,875.25,802.25,778,826,779,777
120,698.75,710.75,730.75,855.75,757,698,764,763,805.75,799.75,789.75,726.75,773.25,756.25,859.25,726.25,828,805,850,743,721.25,800.25,708.25,705.25,766.25,857.25,862.25,745.25,728,758,815,818,718,853,726,838,696.5,826.5,880.5,858.5,891.5,974.5,931.5,746.5,752.75,807.75,749.75,780.75
135,793.5,749.5,825.5,760.5,906.5,820.5,873.5,711.5,843,812,727,757,599.25,731.25,731.25,672.25,834,861,854,940,723.25,674.25,698.25,753.25,751.25,748.25,778.25,726.25,818,920,927,790,774,908,810,855,937,908,918,856,902,756,904,783,666.75,871.75,659.75,774.75
